,time,dishwasher
1363,458863,7
1364,458864,7
1365,458865,7
1366,458866,7
1367,458867,7
1368,458868,6
1369,458869,7
1370,458870,7
1371,458871,7
1372,458872,7
1373,458873,7
1374,458874,7
1375,458875,7
1376,458876,6
1377,458877,7
1378,458878,6
1379,458879,6
1380,458880,6
1381,458881,6
1382,458882,7
1383,458883,6
1384,458884,7
1385,458885,7
1386,458886,7
1387,458887,7
1388,458888,7
1389,458889,7
1390,458890,7
1391,458891,7
1392,458892,7
1393,458893,7
1394,458894,7
1395,458895,7
1396,458896,7
1397,458897,7
1398,458898,7
1399,458899,7
1400,458900,7
1401,458901,7
1402,458902,6
1403,458903,70
1404,458904,69
1405,458905,66
1406,458906,47
1407,458907,61
1408,458908,6
1409,458909,6
1410,458910,6
1411,458911,6
1412,458912,6
1413,458913,6
1414,458914,7
1415,458915,7
1416,458916,6
1417,458917,6
1418,458918,6
1419,458919,6
1420,458920,6
1421,458921,6
1422,458922,6
1423,458923,6
1424,458924,6
1425,458925,7
1426,458926,7
1427,458927,7
1428,458928,7
1429,458929,7
1430,458930,7
1431,458931,7
1432,458932,7
1433,458933,1
1434,458934,1
1435,458935,1
1436,458936,1
1437,458937,1
1438,458938,64
1439,458939,62
1440,458940,62
1441,458941,62
1442,458942,61
1443,458943,62
1444,458944,57
1445,458945,57
1446,458946,56
1447,458947,57
1448,458948,56
1449,458949,57
1450,458950,56
1451,458951,56
1452,458952,56
1453,458953,57
1454,458954,57
1455,458955,56
1456,458956,57
1457,458957,57
1458,458958,57
1459,458959,57
1460,458960,57
1461,458961,57
1462,458962,57
1463,458963,56
1464,458964,57
1465,458965,57
1466,458966,57
1467,458967,57
1468,458968,1
1469,458969,1
1470,458970,1
1471,458971,1
1472,458972,1
1473,458973,64
1474,458974,62
1475,458975,61
1476,458976,61
1477,458977,62
1478,458978,63
1479,458979,57
1480,458980,57
1481,458981,57
1482,458982,57
1483,458983,56
1484,458984,57
1485,458985,57
1486,458986,55
1487,458987,57
1488,458988,57
1489,458989,57
1490,458990,57
1491,458991,57
1492,458992,57
1493,458993,57
1494,458994,57
1495,458995,56
1496,458996,57
1497,458997,57
1498,458998,57
1499,458999,57
1500,459000,57
1501,459001,57
1502,459002,57
1503,459003,1
1504,459004,1
1505,459005,1
1506,459006,1
1507,459007,1
1508,459008,64
1509,459009,63
