,time,dishwasher
1090,4213090,20
1091,4213091,1
1092,4213092,22
1093,4213093,1
1094,4213094,27
1095,4213095,26
1096,4213096,26
1097,4213097,26
1098,4213098,26
1099,4213099,25
1100,4213100,24
1101,4213101,24
1102,4213102,24
1103,4213103,24
1104,4213104,25
1105,4213105,25
1106,4213106,25
1107,4213107,24
1108,4213108,25
1109,4213109,25
1110,4213110,25
1111,4213111,24
1112,4213112,25
1113,4213113,24
1114,4213114,24
1115,4213115,24
1116,4213116,24
1117,4213117,24
1118,4213118,24
1119,4213119,24
1120,4213120,24
1121,4213121,24
1122,4213122,24
1123,4213123,24
1124,4213124,24
1125,4213125,24
1126,4213126,24
1127,4213127,24
1128,4213128,24
1129,4213129,25
1130,4213130,24
1131,4213131,24
1132,4213132,24
1133,4213133,25
1134,4213134,24
1135,4213135,25
1136,4213136,25
1137,4213137,24
1138,4213138,24
1139,4213139,7
1140,4213140,7
1141,4213141,7
1142,4213142,7
1143,4213143,7
1144,4213144,7
1145,4213145,7
1146,4213146,7
1147,4213147,7
1148,4213148,7
1149,4213149,7
1150,4213150,7
1151,4213151,7
1152,4213152,7
1153,4213153,7
1154,4213154,7
1155,4213155,7
1156,4213156,7
1157,4213157,7
1158,4213158,7
1159,4213159,7
1160,4213160,7
1161,4213161,7
1162,4213162,7
1163,4213163,7
1164,4213164,7
1165,4213165,7
1166,4213166,7
1167,4213167,7
1168,4213168,7
1169,4213169,7
1170,4213170,7
1171,4213171,7
1172,4213172,7
1173,4213173,7
1174,4213174,7
1175,4213175,7
1176,4213176,7
1177,4213177,7
1178,4213178,7
1179,4213179,30
1180,4213180,68
1181,4213181,69
1182,4213182,38
1183,4213183,43
1184,4213184,7
1185,4213185,7
1186,4213186,7
1187,4213187,7
1188,4213188,7
1189,4213189,7
1190,4213190,7
1191,4213191,7
1192,4213192,7
1193,4213193,7
1194,4213194,7
1195,4213195,7
1196,4213196,7
1197,4213197,7
1198,4213198,7
1199,4213199,7
1200,4213200,7
1201,4213201,7
1202,4213202,7
1203,4213203,7
1204,4213204,7
1205,4213205,6
1206,4213206,7
1207,4213207,7
1208,4213208,6
1209,4213209,1
1210,4213210,1
1211,4213211,1
1212,4213212,1
1213,4213213,1
1214,4213214,2
1215,4213215,62
1216,4213216,61
1217,4213217,62
1218,4213218,62
1219,4213219,65
1220,4213220,62
1221,4213221,58
1222,4213222,57
1223,4213223,57
1224,4213224,57
1225,4213225,57
1226,4213226,57
1227,4213227,57
1228,4213228,57
1229,4213229,57
1230,4213230,58
1231,4213231,58
1232,4213232,57
1233,4213233,58
1234,4213234,57
1235,4213235,57
1236,4213236,57
1237,4213237,58
1238,4213238,58
1239,4213239,57
1240,4213240,57
1241,4213241,57
1242,4213242,58
1243,4213243,57
1244,4213244,1
1245,4213245,1
1246,4213246,1
1247,4213247,1
1248,4213248,1
1249,4213249,12
1250,4213250,64
1251,4213251,62
1252,4213252,63
1253,4213253,64
1254,4213254,63
1255,4213255,61
1256,4213256,57
1257,4213257,57
1258,4213258,57
1259,4213259,57
1260,4213260,57
1261,4213261,57
1262,4213262,57
1263,4213263,57
1264,4213264,57
1265,4213265,57
1266,4213266,57
1267,4213267,57
1268,4213268,58
1269,4213269,57
1270,4213270,57
1271,4213271,57
1272,4213272,57
1273,4213273,58
1274,4213274,57
1275,4213275,58
1276,4213276,57
1277,4213277,57
1278,4213278,58
1279,4213279,1
1280,4213280,1
1281,4213281,1
1282,4213282,1
1283,4213283,1
1284,4213284,2
1285,4213285,62
1286,4213286,63
1287,4213287,64
1288,4213288,63
1289,4213289,62
1290,4213290,62
1291,4213291,57
1292,4213292,57
1293,4213293,58
1294,4213294,58
1295,4213295,58
1296,4213296,57
1297,4213297,57
1298,4213298,57
1299,4213299,57
1300,4213300,58
1301,4213301,58
1302,4213302,58
1303,4213303,57
1304,4213304,57
1305,4213305,58
1306,4213306,57
1307,4213307,57
1308,4213308,57
1309,4213309,57
1310,4213310,57
1311,4213311,57
1312,4213312,57
1313,4213313,58
1314,4213314,1
1315,4213315,1
1316,4213316,1
1317,4213317,1
1318,4213318,1
1319,4213319,2
1320,4213320,63
1321,4213321,61
1322,4213322,61
1323,4213323,63
1324,4213324,63
1325,4213325,62
1326,4213326,57
1327,4213327,58
1328,4213328,57
1329,4213329,58
1330,4213330,57
1331,4213331,57
1332,4213332,57
1333,4213333,57
1334,4213334,57
1335,4213335,57
1336,4213336,57
1337,4213337,58
1338,4213338,58
1339,4213339,58
1340,4213340,58
1341,4213341,57
1342,4213342,57
1343,4213343,58
1344,4213344,57
1345,4213345,57
1346,4213346,57
1347,4213347,57
1348,4213348,58
1349,4213349,58
1350,4213350,1
1351,4213351,1
1352,4213352,1
1353,4213353,1
1354,4213354,1
1355,4213355,64
1356,4213356,63
1357,4213357,64
1358,4213358,62
1359,4213359,61
1360,4213360,65
1361,4213361,57
1362,4213362,57
