,time,dishwasher
1319,2399319,6
1320,2399320,7
1321,2399321,7
1322,2399322,7
1323,2399323,7
1324,2399324,7
1325,2399325,7
1326,2399326,7
1327,2399327,7
1328,2399328,7
1329,2399329,7
1330,2399330,7
1331,2399331,7
1332,2399332,7
1333,2399333,7
1334,2399334,7
1335,2399335,7
1336,2399336,7
1337,2399337,7
1338,2399338,7
1339,2399339,7
1340,2399340,7
1341,2399341,7
1342,2399342,7
1343,2399343,7
1344,2399344,7
1345,2399345,7
1346,2399346,7
1347,2399347,7
1348,2399348,7
1349,2399349,7
1350,2399350,7
1351,2399351,7
1352,2399352,7
1353,2399353,7
1354,2399354,7
1355,2399355,7
1356,2399356,7
1357,2399357,6
1358,2399358,6
1359,2399359,6
1360,2399360,69
1361,2399361,67
1362,2399362,68
1363,2399363,43
1364,2399364,68
1365,2399365,6
1366,2399366,6
1367,2399367,7
1368,2399368,7
1369,2399369,7
1370,2399370,7
1371,2399371,7
1372,2399372,7
1373,2399373,7
1374,2399374,7
1375,2399375,7
1376,2399376,7
1377,2399377,7
1378,2399378,7
1379,2399379,7
1380,2399380,7
1381,2399381,7
1382,2399382,7
1383,2399383,7
1384,2399384,7
1385,2399385,7
1386,2399386,7
1387,2399387,7
1388,2399388,7
1389,2399389,6
1390,2399390,1
1391,2399391,1
1392,2399392,1
1393,2399393,1
1394,2399394,1
1395,2399395,63
1396,2399396,64
1397,2399397,63
1398,2399398,63
1399,2399399,62
1400,2399400,61
1401,2399401,57
1402,2399402,57
1403,2399403,57
1404,2399404,57
1405,2399405,57
1406,2399406,57
1407,2399407,57
1408,2399408,57
1409,2399409,57
1410,2399410,57
1411,2399411,57
1412,2399412,56
1413,2399413,57
1414,2399414,57
1415,2399415,57
1416,2399416,57
1417,2399417,57
1418,2399418,57
1419,2399419,57
1420,2399420,57
1421,2399421,58
1422,2399422,58
1423,2399423,57
1424,2399424,57
1425,2399425,1
1426,2399426,1
1427,2399427,1
1428,2399428,1
1429,2399429,1
1430,2399430,64
1431,2399431,61
1432,2399432,62
1433,2399433,61
1434,2399434,62
1435,2399435,62
1436,2399436,57
1437,2399437,57
1438,2399438,57
1439,2399439,57
1440,2399440,57
1441,2399441,58
1442,2399442,57
1443,2399443,57
1444,2399444,57
1445,2399445,57
1446,2399446,57
1447,2399447,57
1448,2399448,58
1449,2399449,57
1450,2399450,57
1451,2399451,57
1452,2399452,58
1453,2399453,57
1454,2399454,57
1455,2399455,57
1456,2399456,58
1457,2399457,58
1458,2399458,57
1459,2399459,57
1460,2399460,1
1461,2399461,1
1462,2399462,1
1463,2399463,1
1464,2399464,1
1465,2399465,62
1466,2399466,63
1467,2399467,61
