,time,dryer
9059,2749059,364
9060,2749060,284
9061,2749061,266
9062,2749062,273
9063,2749063,5827
9064,2749064,5748
9065,2749065,5686
9066,2749066,5652
9067,2749067,5584
9068,2749068,5538
9069,2749069,5511
9070,2749070,5497
9071,2749071,5447
9072,2749072,5467
9073,2749073,5447
9074,2749074,5419
9075,2749075,5418
9076,2749076,5422
9077,2749077,5406
9078,2749078,5411
9079,2749079,5423
9080,2749080,5405
9081,2749081,5400
9082,2749082,5428
9083,2749083,5413
9084,2749084,5414
9085,2749085,5436
9086,2749086,5434
9087,2749087,5414
9088,2749088,5430
9089,2749089,5433
9090,2749090,5419
9091,2749091,5422
9092,2749092,5471
9093,2749093,5425
9094,2749094,5424
9095,2749095,5427
9096,2749096,5429
9097,2749097,5421
9098,2749098,5442
9099,2749099,5430
9100,2749100,5421
9101,2749101,5423
9102,2749102,5429
9103,2749103,5408
9104,2749104,5409
9105,2749105,5428
9106,2749106,5419
9107,2749107,5394
9108,2749108,5410
9109,2749109,5417
9110,2749110,5406
9111,2749111,5431
9112,2749112,5440
9113,2749113,5426
9114,2749114,5432
9115,2749115,5442
9116,2749116,5428
9117,2749117,5431
9118,2749118,5448
9119,2749119,5433
9120,2749120,5417
9121,2749121,5427
9122,2749122,5431
9123,2749123,5412
9124,2749124,5438
9125,2749125,5430
9126,2749126,5411
9127,2749127,5411
9128,2749128,5421
9129,2749129,5415
9130,2749130,5411
9131,2749131,5424
9132,2749132,5418
9133,2749133,5405
9134,2749134,5408
9135,2749135,5412
9136,2749136,5410
9137,2749137,5418
9138,2749138,5417
9139,2749139,5399
9140,2749140,5395
9141,2749141,5409
9142,2749142,5396
9143,2749143,5364
9144,2749144,5406
9145,2749145,5406
9146,2749146,5388
9147,2749147,5401
9148,2749148,5400
9149,2749149,5399
9150,2749150,5415
9151,2749151,5422
9152,2749152,5407
9153,2749153,5402
9154,2749154,5414
9155,2749155,5404
9156,2749156,5396
9157,2749157,5409
9158,2749158,5417
9159,2749159,5408
9160,2749160,5412
9161,2749161,5410
9162,2749162,5397
9163,2749163,5399
9164,2749164,5416
9165,2749165,5395
9166,2749166,5396
9167,2749167,5419
9168,2749168,5398
9169,2749169,5385
9170,2749170,5408
9171,2749171,5406
9172,2749172,5382
9173,2749173,5391
9174,2749174,5396
9175,2749175,5386
9176,2749176,5399
9177,2749177,5412
9178,2749178,5400
9179,2749179,5387
9180,2749180,5401
9181,2749181,5412
9182,2749182,5395
9183,2749183,274
9184,2749184,276
9185,2749185,260
9186,2749186,262
9187,2749187,265
9188,2749188,264
9189,2749189,251
9190,2749190,278
9191,2749191,268
9192,2749192,255
9193,2749193,260
9194,2749194,256
9195,2749195,255
9196,2749196,265
9197,2749197,274
9198,2749198,5662
9199,2749199,5620
9200,2749200,5577
9201,2749201,5540
9202,2749202,5503
9203,2749203,5506
9204,2749204,5482
9205,2749205,5443
9206,2749206,5449
9207,2749207,5441
9208,2749208,5432
9209,2749209,5424
9210,2749210,5437
9211,2749211,5422
9212,2749212,5411
9213,2749213,5424
9214,2749214,5411
9215,2749215,5399
9216,2749216,5420
9217,2749217,5420
9218,2749218,5412
9219,2749219,5413
9220,2749220,5419
9221,2749221,5398
9222,2749222,5406
9223,2749223,5435
9224,2749224,5411
9225,2749225,5406
9226,2749226,5394
9227,2749227,5387
9228,2749228,5383
9229,2749229,5399
9230,2749230,5400
9231,2749231,5393
9232,2749232,5384
9233,2749233,5388
9234,2749234,5381
9235,2749235,5377
9236,2749236,5398
