,time,dryer
6086,4546086,266
6087,4546087,262
6088,4546088,246
6089,4546089,260
6090,4546090,5788
6091,4546091,5707
6092,4546092,5654
6093,4546093,5613
6094,4546094,5554
6095,4546095,5506
6096,4546096,5498
6097,4546097,5468
6098,4546098,5438
6099,4546099,5450
6100,4546100,5433
6101,4546101,5401
6102,4546102,5405
6103,4546103,5396
6104,4546104,5375
6105,4546105,5374
6106,4546106,5390
6107,4546107,5373
6108,4546108,5361
6109,4546109,5370
6110,4546110,5364
6111,4546111,5356
6112,4546112,5360
6113,4546113,5377
6114,4546114,5363
6115,4546115,5352
6116,4546116,5358
6117,4546117,5357
6118,4546118,5340
6119,4546119,5362
6120,4546120,5375
6121,4546121,5361
6122,4546122,5359
6123,4546123,5350
6124,4546124,5333
6125,4546125,5341
6126,4546126,5354
6127,4546127,5355
6128,4546128,5347
6129,4546129,5350
6130,4546130,5351
6131,4546131,5340
6132,4546132,5359
6133,4546133,5367
6134,4546134,5357
6135,4546135,5349
6136,4546136,5353
6137,4546137,5342
6138,4546138,5334
6139,4546139,5352
6140,4546140,5346
6141,4546141,5328
6142,4546142,5336
6143,4546143,5335
6144,4546144,5330
6145,4546145,5330
6146,4546146,5350
6147,4546147,5340
6148,4546148,5331
6149,4546149,5347
6150,4546150,5338
6151,4546151,5326
6152,4546152,5353
6153,4546153,5352
6154,4546154,5338
6155,4546155,5336
6156,4546156,5345
6157,4546157,5326
6158,4546158,5329
6159,4546159,5355
6160,4546160,5345
6161,4546161,5323
6162,4546162,5337
6163,4546163,5334
6164,4546164,5326
6165,4546165,5337
6166,4546166,5350
6167,4546167,5341
6168,4546168,5332
6169,4546169,5335
6170,4546170,5329
6171,4546171,5324
6172,4546172,5340
6173,4546173,5350
6174,4546174,5325
6175,4546175,5310
6176,4546176,5336
6177,4546177,5325
6178,4546178,5323
6179,4546179,5347
6180,4546180,5344
6181,4546181,5326
6182,4546182,5332
6183,4546183,5333
6184,4546184,5321
6185,4546185,5337
6186,4546186,5349
6187,4546187,5342
6188,4546188,5332
6189,4546189,5338
6190,4546190,5329
6191,4546191,5327
6192,4546192,5342
6193,4546193,5350
6194,4546194,5329
6195,4546195,5323
6196,4546196,5325
6197,4546197,5312
6198,4546198,5317
6199,4546199,5327
6200,4546200,5321
6201,4546201,5308
6202,4546202,5315
6203,4546203,5306
6204,4546204,5297
6205,4546205,5315
6206,4546206,5332
6207,4546207,5309
6208,4546208,5310
6209,4546209,5320
6210,4546210,243
6211,4546211,237
6212,4546212,264
6213,4546213,260
6214,4546214,247
6215,4546215,242
6216,4546216,251
6217,4546217,238
6218,4546218,245
6219,4546219,256
6220,4546220,247
6221,4546221,238
6222,4546222,255
6223,4546223,251
6224,4546224,239
6225,4546225,5577
6226,4546226,5540
6227,4546227,5500
6228,4546228,5459
6229,4546229,5436
6230,4546230,5406
6231,4546231,5383
6232,4546232,5385
6233,4546233,5372
6234,4546234,5344
6235,4546235,5347
6236,4546236,5342
6237,4546237,5321
6238,4546238,5323
6239,4546239,5352
6240,4546240,5336
6241,4546241,5315
6242,4546242,5333
6243,4546243,5331
6244,4546244,5319
6245,4546245,5320
6246,4546246,5345
6247,4546247,5339
6248,4546248,5316
6249,4546249,5324
6250,4546250,5323
6251,4546251,5318
6252,4546252,5320
6253,4546253,5333
6254,4546254,5320
6255,4546255,5318
6256,4546256,5328
6257,4546257,5326
6258,4546258,5311
6259,4546259,5346
6260,4546260,5339
6261,4546261,5325
6262,4546262,5314
6263,4546263,5328
6264,4546264,5321
6265,4546265,5318
6266,4546266,5341
6267,4546267,5332
6268,4546268,5321
6269,4546269,5336
6270,4546270,5331
6271,4546271,5328
6272,4546272,5336
6273,4546273,5345
6274,4546274,5333
6275,4546275,5326
6276,4546276,5332
6277,4546277,5331
6278,4546278,5331
6279,4546279,5344
6280,4546280,5347
6281,4546281,5340
6282,4546282,5338
6283,4546283,5348
6284,4546284,5336
6285,4546285,5328
6286,4546286,5345
6287,4546287,5345
6288,4546288,5322
6289,4546289,5326
6290,4546290,5329
6291,4546291,5318
6292,4546292,5320
6293,4546293,5349
6294,4546294,262
6295,4546295,237
6296,4546296,242
6297,4546297,243
6298,4546298,236
6299,4546299,239
6300,4546300,260
6301,4546301,242
6302,4546302,236
6303,4546303,250
6304,4546304,242
6305,4546305,231
6306,4546306,251
6307,4546307,262
6308,4546308,241
6309,4546309,236
6310,4546310,250
6311,4546311,242
6312,4546312,234
6313,4546313,257
6314,4546314,256
6315,4546315,243
6316,4546316,243
6317,4546317,246
6318,4546318,231
6319,4546319,239
6320,4546320,262
6321,4546321,249
6322,4546322,239
6323,4546323,239
6324,4546324,238
6325,4546325,234
6326,4546326,238
6327,4546327,258
6328,4546328,245
6329,4546329,233
6330,4546330,243
6331,4546331,246
6332,4546332,243
6333,4546333,249
6334,4546334,262
6335,4546335,239
6336,4546336,237
6337,4546337,244
6338,4546338,240
6339,4546339,233
6340,4546340,250
6341,4546341,255
6342,4546342,247
6343,4546343,242
6344,4546344,248
6345,4546345,238
6346,4546346,242
6347,4546347,256
6348,4546348,252
6349,4546349,238
6350,4546350,240
6351,4546351,240
6352,4546352,230
6353,4546353,238
6354,4546354,257
6355,4546355,244
6356,4546356,5726
6357,4546357,5664
6358,4546358,5609
6359,4546359,5544
6360,4546360,5508
6361,4546361,5490
6362,4546362,5444
6363,4546363,5419
6364,4546364,5411
6365,4546365,5376
6366,4546366,5359
6367,4546367,5361
6368,4546368,5355
6369,4546369,5339
6370,4546370,5326
6371,4546371,5340
6372,4546372,5336
6373,4546373,5325
6374,4546374,5346
6375,4546375,5344
6376,4546376,5323
6377,4546377,5325
6378,4546378,5326
6379,4546379,5304
6380,4546380,5304
6381,4546381,5328
6382,4546382,5314
6383,4546383,5300
6384,4546384,5309
6385,4546385,5309
6386,4546386,5305
6387,4546387,5309
6388,4546388,5325
6389,4546389,5305
6390,4546390,5305
6391,4546391,5321
6392,4546392,5308
6393,4546393,5301
6394,4546394,5314
6395,4546395,5314
6396,4546396,5296
6397,4546397,5305
6398,4546398,5319
6399,4546399,5300
6400,4546400,5295
6401,4546401,5321
6402,4546402,5316
6403,4546403,5306
6404,4546404,5310
6405,4546405,5307
6406,4546406,5304
6407,4546407,5302
6408,4546408,5326
6409,4546409,638
6410,4546410,231
6411,4546411,238
6412,4546412,247
6413,4546413,234
6414,4546414,242
6415,4546415,254
6416,4546416,238
6417,4546417,236
6418,4546418,247
6419,4546419,235
6420,4546420,232
6421,4546421,248
6422,4546422,251
6423,4546423,244
6424,4546424,238
6425,4546425,245
6426,4546426,231
6427,4546427,235
6428,4546428,248
6429,4546429,246
6430,4546430,236
6431,4546431,236
6432,4546432,244
6433,4546433,232
6434,4546434,236
6435,4546435,260
6436,4546436,244
6437,4546437,234
6438,4546438,245
6439,4546439,243
6440,4546440,235
6441,4546441,240
6442,4546442,256
6443,4546443,242
6444,4546444,237
6445,4546445,244
6446,4546446,241
6447,4546447,237
6448,4546448,251
6449,4546449,256
6450,4546450,239
6451,4546451,236
6452,4546452,244
6453,4546453,236
6454,4546454,232
6455,4546455,259
6456,4546456,253
6457,4546457,239
6458,4546458,238
6459,4546459,238
6460,4546460,227
6461,4546461,235
6462,4546462,258
6463,4546463,247
6464,4546464,235
6465,4546465,244
6466,4546466,240
6467,4546467,234
6468,4546468,242
6469,4546469,259
6470,4546470,243
6471,4546471,234
6472,4546472,245
6473,4546473,245
6474,4546474,5745
6475,4546475,5677
6476,4546476,5622
6477,4546477,5556
6478,4546478,5513
6479,4546479,5511
6480,4546480,5452
6481,4546481,5411
6482,4546482,5408
6483,4546483,5392
6484,4546484,5364
6485,4546485,5357
6486,4546486,5357
6487,4546487,5344
6488,4546488,5339
6489,4546489,5346
6490,4546490,5349
6491,4546491,5339
6492,4546492,5322
6493,4546493,5327
6494,4546494,5322
6495,4546495,5328
6496,4546496,5344
6497,4546497,5330
6498,4546498,5318
6499,4546499,5326
6500,4546500,5329
6501,4546501,5314
6502,4546502,5330
6503,4546503,5346
6504,4546504,5322
6505,4546505,5322
6506,4546506,5325
6507,4546507,5320
6508,4546508,5317
6509,4546509,5330
6510,4546510,5329
6511,4546511,5332
6512,4546512,5329
6513,4546513,5334
6514,4546514,5327
6515,4546515,5331
6516,4546516,5351
6517,4546517,5349
6518,4546518,5332
6519,4546519,5337
6520,4546520,5323
6521,4546521,5314
6522,4546522,5322
6523,4546523,257
6524,4546524,247
6525,4546525,235
6526,4546526,240
6527,4546527,247
6528,4546528,237
6529,4546529,243
6530,4546530,256
6531,4546531,239
6532,4546532,235
6533,4546533,244
6534,4546534,236
6535,4546535,238
6536,4546536,246
6537,4546537,247
6538,4546538,239
6539,4546539,238
6540,4546540,250
6541,4546541,234
6542,4546542,227
6543,4546543,253
6544,4546544,251
6545,4546545,241
6546,4546546,237
6547,4546547,244
6548,4546548,230
6549,4546549,236
6550,4546550,257
6551,4546551,248
6552,4546552,236
6553,4546553,242
6554,4546554,240
6555,4546555,236
6556,4546556,237
6557,4546557,257
6558,4546558,242
6559,4546559,235
6560,4546560,243
6561,4546561,239
6562,4546562,229
6563,4546563,246
6564,4546564,261
6565,4546565,240
6566,4546566,239
6567,4546567,248
6568,4546568,245
6569,4546569,234
6570,4546570,248
6571,4546571,252
6572,4546572,241
6573,4546573,236
6574,4546574,242
6575,4546575,235
6576,4546576,232
6577,4546577,254
6578,4546578,246
6579,4546579,234
6580,4546580,239
6581,4546581,252
6582,4546582,231
6583,4546583,238
6584,4546584,254
6585,4546585,242
6586,4546586,235
6587,4546587,244
6588,4546588,238
6589,4546589,233
6590,4546590,237
6591,4546591,252
6592,4546592,243
6593,4546593,234
6594,4546594,241
6595,4546595,240
6596,4546596,232
6597,4546597,251
6598,4546598,256
6599,4546599,235
6600,4546600,235
6601,4546601,247
6602,4546602,236
6603,4546603,237
6604,4546604,250
6605,4546605,251
6606,4546606,236
6607,4546607,236
6608,4546608,244
6609,4546609,231
6610,4546610,234
6611,4546611,251
6612,4546612,253
6613,4546613,238
6614,4546614,240
6615,4546615,244
6616,4546616,229
6617,4546617,236
6618,4546618,254
6619,4546619,245
6620,4546620,233
6621,4546621,244
6622,4546622,240
6623,4546623,230
6624,4546624,243
6625,4546625,265
6626,4546626,242
6627,4546627,236
6628,4546628,246
6629,4546629,242
6630,4546630,237
6631,4546631,245
6632,4546632,248
6633,4546633,240
6634,4546634,236
6635,4546635,238
6636,4546636,235
6637,4546637,231
6638,4546638,253
6639,4546639,250
6640,4546640,239
6641,4546641,242
6642,4546642,256
6643,4546643,234
6644,4546644,237
6645,4546645,250
6646,4546646,249
6647,4546647,237
6648,4546648,241
6649,4546649,242
6650,4546650,233
6651,4546651,5781
6652,4546652,5722
6653,4546653,5651
6654,4546654,5585
6655,4546655,5536
6656,4546656,5506
6657,4546657,5470
6658,4546658,5452
6659,4546659,5452
6660,4546660,5420
6661,4546661,5399
6662,4546662,5389
6663,4546663,5371
6664,4546664,5359
6665,4546665,5363
6666,4546666,5374
6667,4546667,5354
6668,4546668,5347
6669,4546669,5360
6670,4546670,5346
6671,4546671,5347
6672,4546672,5362
6673,4546673,5368
6674,4546674,5359
6675,4546675,5357
6676,4546676,5357
6677,4546677,5352
6678,4546678,5350
6679,4546679,5366
6680,4546680,5360
6681,4546681,5340
6682,4546682,5349
6683,4546683,5341
6684,4546684,5339
6685,4546685,5349
6686,4546686,5366
6687,4546687,5346
6688,4546688,5338
6689,4546689,242
6690,4546690,243
6691,4546691,236
6692,4546692,244
6693,4546693,252
6694,4546694,241
6695,4546695,236
6696,4546696,243
6697,4546697,236
6698,4546698,232
6699,4546699,248
6700,4546700,253
6701,4546701,238
6702,4546702,235
6703,4546703,245
6704,4546704,233
6705,4546705,234
6706,4546706,250
6707,4546707,247
6708,4546708,239
6709,4546709,236
6710,4546710,242
6711,4546711,230
6712,4546712,238
6713,4546713,252
6714,4546714,245
6715,4546715,234
6716,4546716,246
6717,4546717,238
6718,4546718,232
6719,4546719,241
6720,4546720,267
6721,4546721,242
6722,4546722,236
6723,4546723,242
6724,4546724,240
6725,4546725,228
6726,4546726,248
6727,4546727,258
6728,4546728,240
6729,4546729,236
6730,4546730,246
6731,4546731,242
6732,4546732,231
6733,4546733,252
6734,4546734,254
6735,4546735,241
6736,4546736,237
6737,4546737,244
6738,4546738,237
6739,4546739,234
6740,4546740,249
6741,4546741,249
6742,4546742,239
6743,4546743,240
6744,4546744,240
6745,4546745,235
6746,4546746,235
6747,4546747,254
6748,4546748,242
6749,4546749,231
6750,4546750,241
6751,4546751,244
6752,4546752,229
6753,4546753,241
6754,4546754,259
6755,4546755,242
6756,4546756,236
6757,4546757,243
6758,4546758,243
6759,4546759,232
6760,4546760,240
6761,4546761,250
6762,4546762,241
6763,4546763,235
6764,4546764,243
6765,4546765,234
6766,4546766,230
6767,4546767,251
6768,4546768,255
6769,4546769,241
6770,4546770,238
6771,4546771,251
6772,4546772,234
6773,4546773,239
6774,4546774,253
6775,4546775,252
6776,4546776,5730
6777,4546777,5672
6778,4546778,5632
6779,4546779,5568
6780,4546780,5537
6781,4546781,5532
6782,4546782,5487
6783,4546783,5451
6784,4546784,5439
6785,4546785,5433
6786,4546786,5400
6787,4546787,5405
6788,4546788,5407
6789,4546789,5384
6790,4546790,5383
6791,4546791,5391
6792,4546792,5375
6793,4546793,5372
6794,4546794,5383
6795,4546795,5374
6796,4546796,5369
6797,4546797,5370
6798,4546798,5388
6799,4546799,5356
6800,4546800,5350
6801,4546801,5374
6802,4546802,5368
6803,4546803,5362
6804,4546804,5372
6805,4546805,5378
6806,4546806,5362
6807,4546807,237
6808,4546808,249
6809,4546809,245
6810,4546810,233
6811,4546811,238
6812,4546812,239
6813,4546813,236
6814,4546814,241
6815,4546815,256
6816,4546816,246
6817,4546817,237
6818,4546818,240
6819,4546819,242
6820,4546820,227
6821,4546821,245
6822,4546822,255
6823,4546823,239
6824,4546824,230
6825,4546825,242
6826,4546826,239
6827,4546827,230
6828,4546828,245
6829,4546829,249
6830,4546830,243
6831,4546831,233
6832,4546832,246
6833,4546833,237
6834,4546834,240
6835,4546835,251
6836,4546836,251
6837,4546837,233
6838,4546838,238
6839,4546839,242
6840,4546840,233
6841,4546841,236
6842,4546842,253
6843,4546843,246
6844,4546844,237
6845,4546845,243
6846,4546846,242
6847,4546847,231
6848,4546848,239
6849,4546849,253
6850,4546850,244
6851,4546851,231
6852,4546852,239
6853,4546853,241
6854,4546854,238
6855,4546855,246
6856,4546856,256
6857,4546857,238
6858,4546858,236
6859,4546859,248
6860,4546860,236
6861,4546861,230
6862,4546862,251
6863,4546863,254
6864,4546864,237
6865,4546865,234
6866,4546866,245
6867,4546867,233
6868,4546868,240
6869,4546869,255
6870,4546870,248
6871,4546871,237
6872,4546872,241
6873,4546873,244
6874,4546874,230
6875,4546875,238
6876,4546876,251
6877,4546877,248
6878,4546878,234
6879,4546879,239
6880,4546880,242
6881,4546881,231
6882,4546882,245
6883,4546883,262
6884,4546884,239
6885,4546885,237
6886,4546886,240
6887,4546887,236
6888,4546888,236
6889,4546889,251
6890,4546890,252
6891,4546891,239
6892,4546892,233
6893,4546893,247
6894,4546894,233
6895,4546895,233
6896,4546896,252
6897,4546897,5774
6898,4546898,5695
6899,4546899,5625
6900,4546900,5584
6901,4546901,5532
6902,4546902,5505
6903,4546903,5496
6904,4546904,5457
6905,4546905,5426
6906,4546906,5413
6907,4546907,5410
6908,4546908,5386
6909,4546909,5389
6910,4546910,5399
