,time,dryer
607,3337157,3461
608,3337158,261
609,3337159,268
610,3337160,290
611,3337161,5719
612,3337162,5646
613,3337163,5599
614,3337164,5533
615,3337165,5507
616,3337166,5481
617,3337167,5439
618,3337168,5404
619,3337169,5398
620,3337170,5370
621,3337171,5348
622,3337172,5349
623,3337173,5308
624,3337174,5301
625,3337175,5325
626,3337176,5316
627,3337177,5306
628,3337178,5341
629,3337179,5314
630,3337180,5299
631,3337181,5320
632,3337182,5321
633,3337183,5320
634,3337184,5335
635,3337185,5322
636,3337186,5301
637,3337187,5299
638,3337188,5281
639,3337189,5296
640,3337190,5316
641,3337191,5292
642,3337192,5275
643,3337193,5282
644,3337194,5257
645,3337195,5273
646,3337196,5305
647,3337197,5290
648,3337198,5296
649,3337199,5307
650,3337200,5287
651,3337201,5271
652,3337202,5309
653,3337203,5307
654,3337204,5278
655,3337205,5295
656,3337206,5291
657,3337207,5279
658,3337208,5311
659,3337209,5287
660,3337210,5272
661,3337211,5292
662,3337212,5282
663,3337213,5304
664,3337214,5308
665,3337215,5311
666,3337216,5279
667,3337217,5307
668,3337218,5289
669,3337219,5296
670,3337220,5319
671,3337221,5310
672,3337222,5284
673,3337223,5293
674,3337224,5276
675,3337225,5262
676,3337226,5307
677,3337227,5292
678,3337228,5270
679,3337229,5286
680,3337230,5291
681,3337231,5287
682,3337232,5312
683,3337233,5329
684,3337234,5287
685,3337235,5307
686,3337236,5291
687,3337237,5290
688,3337238,5292
689,3337239,5287
690,3337240,5272
691,3337241,5268
692,3337242,5279
693,3337243,5247
694,3337244,5291
695,3337245,5300
696,3337246,5278
697,3337247,5282
698,3337248,5276
699,3337249,5279
700,3337250,5289
701,3337251,5256
702,3337252,5237
703,3337253,5279
704,3337254,5269
705,3337255,5261
706,3337256,5269
707,3337257,5255
708,3337258,5255
709,3337259,5259
710,3337260,5248
711,3337261,5254
712,3337262,5267
713,3337263,5277
714,3337264,5248
715,3337265,5250
716,3337266,5267
717,3337267,5253
718,3337268,5261
719,3337269,5282
720,3337270,5257
721,3337271,5278
722,3337272,5286
723,3337273,5270
724,3337274,5283
725,3337275,5281
726,3337276,5270
727,3337277,5272
728,3337278,5298
729,3337279,5290
730,3337280,5298
731,3337281,300
732,3337282,271
733,3337283,266
734,3337284,272
735,3337285,275
736,3337286,284
737,3337287,298
738,3337288,276
739,3337289,273
740,3337290,286
741,3337291,264
742,3337292,274
743,3337293,294
744,3337294,267
745,3337295,265
746,3337296,5535
747,3337297,5480
748,3337298,5450
749,3337299,5436
750,3337300,5398
751,3337301,5362
752,3337302,5368
753,3337303,5361
754,3337304,5351
755,3337305,5355
756,3337306,5340
757,3337307,5325
758,3337308,5324
759,3337309,5313
760,3337310,5323
761,3337311,5342
762,3337312,5340
763,3337313,5325
764,3337314,5331
765,3337315,5322
766,3337316,5303
767,3337317,5326
768,3337318,5317
769,3337319,5303
770,3337320,5304
771,3337321,5305
772,3337322,5301
773,3337323,5323
774,3337324,5312
775,3337325,5298
776,3337326,5298
777,3337327,5307
778,3337328,5297
779,3337329,5319
780,3337330,5326
781,3337331,5306
782,3337332,5312
783,3337333,5301
784,3337334,5307
785,3337335,5326
786,3337336,5332
787,3337337,5306
788,3337338,5328
789,3337339,5303
790,3337340,5297
791,3337341,5320
792,3337342,5315
793,3337343,5305
794,3337344,5315
795,3337345,5325
796,3337346,5318
797,3337347,5341
798,3337348,5341
799,3337349,5318
800,3337350,5324
801,3337351,5330
802,3337352,5310
803,3337353,5333
804,3337354,5338
805,3337355,5311
806,3337356,5309
807,3337357,5315
808,3337358,5298
809,3337359,5301
810,3337360,5320
811,3337361,5312
812,3337362,5315
813,3337363,5335
814,3337364,5311
815,3337365,5322
816,3337366,5342
817,3337367,5307
818,3337368,5308
819,3337369,5320
820,3337370,5322
821,3337371,5329
822,3337372,5342
823,3337373,5312
824,3337374,5296
825,3337375,5316
826,3337376,5311
827,3337377,5319
828,3337378,5331
829,3337379,5310
830,3337380,5300
831,3337381,5304
832,3337382,5293
833,3337383,5309
834,3337384,5340
835,3337385,5338
836,3337386,5315
837,3337387,5314
838,3337388,5306
839,3337389,5295
840,3337390,5326
841,3337391,5312
842,3337392,5299
843,3337393,5302
844,3337394,5297
845,3337395,5300
846,3337396,5324
847,3337397,5333
848,3337398,5303
849,3337399,5315
850,3337400,5301
851,3337401,5296
852,3337402,5338
853,3337403,5334
854,3337404,5317
855,3337405,5320
856,3337406,5313
857,3337407,5305
858,3337408,5333
859,3337409,5325
860,3337410,5325
861,3337411,5324
862,3337412,5329
863,3337413,5323
864,3337414,5327
865,3337415,5338
866,3337416,5317
867,3337417,5317
868,3337418,5325
869,3337419,5327
870,3337420,5352
871,3337421,5352
872,3337422,5322
873,3337423,5323
874,3337424,5316
875,3337425,5316
876,3337426,5336
877,3337427,5359
878,3337428,5328
879,3337429,5326
880,3337430,5336
881,3337431,5339
882,3337432,5337
883,3337433,5343
884,3337434,5315
885,3337435,5309
886,3337436,5319
887,3337437,5308
888,3337438,5322
889,3337439,5342
890,3337440,5325
891,3337441,5325
892,3337442,5328
893,3337443,5305
894,3337444,5290
895,3337445,5274
896,3337446,5270
897,3337447,5264
898,3337448,5267
899,3337449,5269
900,3337450,5272
901,3337451,5286
902,3337452,5274
903,3337453,5268
904,3337454,5283
905,3337455,5265
906,3337456,5267
907,3337457,5287
908,3337458,5289
909,3337459,5261
910,3337460,5276
911,3337461,5274
912,3337462,5249
913,3337463,5260
914,3337464,5253
915,3337465,5255
916,3337466,5265
917,3337467,5265
918,3337468,5262
919,3337469,5261
920,3337470,5276
921,3337471,5265
922,3337472,5263
923,3337473,5273
924,3337474,5264
925,3337475,5255
926,3337476,5283
927,3337477,5269
928,3337478,5276
929,3337479,5273
930,3337480,5262
931,3337481,5260
932,3337482,5272
933,3337483,5262
934,3337484,5272
935,3337485,5263
936,3337486,5267
937,3337487,5257
938,3337488,5284
939,3337489,5269
940,3337490,5270
941,3337491,5275
942,3337492,5267
943,3337493,5269
944,3337494,5285
945,3337495,5280
946,3337496,5284
947,3337497,5304
948,3337498,5294
949,3337499,5275
950,3337500,5311
951,3337501,5293
952,3337502,5282
953,3337503,5281
954,3337504,5279
955,3337505,5284
956,3337506,5301
957,3337507,5300
958,3337508,5297
959,3337509,5299
960,3337510,5284
961,3337511,5278
962,3337512,5295
963,3337513,5290
964,3337514,5274
965,3337515,5275
966,3337516,5292
967,3337517,5282
968,3337518,5267
969,3337519,5306
970,3337520,5280
971,3337521,5268
972,3337522,5282
973,3337523,5279
974,3337524,5280
975,3337525,5295
976,3337526,5277
977,3337527,5271
978,3337528,5273
979,3337529,5274
980,3337530,5267
981,3337531,5295
982,3337532,5277
983,3337533,5274
984,3337534,5285
985,3337535,5291
986,3337536,5278
987,3337537,5295
988,3337538,5278
989,3337539,5266
990,3337540,5283
991,3337541,5279
992,3337542,5284
993,3337543,5310
994,3337544,5312
995,3337545,5304
996,3337546,5310
997,3337547,5309
998,3337548,5288
999,3337549,5305
1000,3337550,5316
1001,3337551,5304
1002,3337552,5300
1003,3337553,5293
1004,3337554,5299
1005,3337555,5298
1006,3337556,5311
1007,3337557,5288
1008,3337558,5274
1009,3337559,5271
1010,3337560,5259
1011,3337561,5281
1012,3337562,5318
1013,3337563,5290
1014,3337564,5290
1015,3337565,5295
1016,3337566,5283
1017,3337567,5293
1018,3337568,5332
