,time,washer
0,984000,2
1,984001,2
2,984002,2
3,984003,2
4,984004,2
5,984005,2
6,984006,2
7,984007,2
8,984008,2
9,984009,2
10,984010,2
11,984011,2
12,984012,2
13,984013,2
14,984014,2
15,984015,2
16,984016,2
17,984017,2
18,984018,2
19,984019,2
20,984020,2
21,984021,2
22,984022,2
23,984023,2
24,984024,2
25,984025,2
26,984026,2
27,984027,2
28,984028,2
29,984029,2
30,984030,2
31,984031,2
32,984032,2
33,984033,2
34,984034,2
35,984035,2
36,984036,2
37,984037,2
38,984038,2
39,984039,2
40,984040,2
41,984041,2
42,984042,2
43,984043,2
44,984044,2
45,984045,2
46,984046,2
47,984047,2
48,984048,2
49,984049,2
50,984050,2
51,984051,2
52,984052,2
53,984053,2
54,984054,2
55,984055,2
56,984056,2
57,984057,2
58,984058,2
59,984059,2
60,984060,2
61,984061,2
62,984062,2
63,984063,2
64,984064,2
65,984065,2
66,984066,2
67,984067,2
68,984068,2
69,984069,2
70,984070,2
71,984071,2
72,984072,2
73,984073,2
74,984074,2
75,984075,2
76,984076,2
77,984077,2
78,984078,2
79,984079,2
80,984080,2
81,984081,2
82,984082,2
83,984083,2
84,984084,2
85,984085,2
86,984086,2
87,984087,2
88,984088,2
89,984089,2
90,984090,2
91,984091,2
92,984092,2
93,984093,2
94,984094,2
95,984095,2
96,984096,2
97,984097,2
98,984098,2
99,984099,2
100,984100,2
101,984101,2
102,984102,2
103,984103,2
104,984104,2
105,984105,2
106,984106,2
107,984107,2
108,984108,2
109,984109,2
110,984110,2
111,984111,2
112,984112,2
113,984113,2
114,984114,2
115,984115,3
116,984116,2
117,984117,2
118,984118,2
119,984119,2
120,984120,2
121,984121,2
122,984122,2
123,984123,2
124,984124,2
125,984125,2
126,984126,2
127,984127,2
128,984128,2
129,984129,2
130,984130,2
131,984131,2
132,984132,2
133,984133,2
134,984134,2
135,984135,2
136,984136,2
137,984137,2
138,984138,2
139,984139,2
140,984140,2
141,984141,2
142,984142,2
143,984143,2
144,984144,2
145,984145,2
146,984146,2
147,984147,2
148,984148,2
149,984149,2
150,984150,2
151,984151,2
152,984152,2
153,984153,2
154,984154,2
155,984155,2
156,984156,2
157,984157,2
158,984158,2
159,984159,2
160,984160,2
161,984161,2
162,984162,2
163,984163,2
164,984164,2
165,984165,2
166,984166,2
167,984167,2
168,984168,2
169,984169,2
170,984170,2
171,984171,2
172,984172,2
173,984173,2
174,984174,2
175,984175,2
176,984176,2
177,984177,2
178,984178,2
179,984179,2
180,984180,2
181,984181,2
182,984182,2
183,984183,2
184,984184,2
185,984185,2
186,984186,2
187,984187,2
188,984188,2
189,984189,2
190,984190,2
191,984191,2
192,984192,2
193,984193,2
194,984194,2
195,984195,2
196,984196,2
197,984197,2
198,984198,2
199,984199,2
200,984200,2
201,984201,2
202,984202,2
203,984203,2
204,984204,2
205,984205,2
206,984206,2
207,984207,2
208,984208,2
209,984209,2
210,984210,2
211,984211,2
212,984212,2
213,984213,2
214,984214,2
215,984215,2
216,984216,2
217,984217,2
218,984218,2
219,984219,2
220,984220,2
221,984221,2
222,984222,2
223,984223,2
224,984224,2
225,984225,2
226,984226,2
227,984227,2
228,984228,2
229,984229,2
230,984230,2
231,984231,2
232,984232,2
233,984233,2
234,984234,2
235,984235,2
236,984236,2
237,984237,2
238,984238,2
239,984239,2
240,984240,2
241,984241,2
242,984242,3
243,984243,2
244,984244,2
245,984245,2
246,984246,2
247,984247,2
248,984248,2
249,984249,2
250,984250,2
251,984251,2
252,984252,2
253,984253,2
254,984254,2
255,984255,2
256,984256,2
257,984257,2
258,984258,2
259,984259,2
260,984260,2
261,984261,2
262,984262,2
263,984263,2
264,984264,2
265,984265,2
266,984266,2
267,984267,2
268,984268,2
269,984269,2
270,984270,2
271,984271,2
272,984272,2
273,984273,2
274,984274,2
275,984275,2
276,984276,2
277,984277,2
278,984278,2
279,984279,2
280,984280,2
281,984281,2
282,984282,2
283,984283,2
284,984284,2
285,984285,2
286,984286,2
287,984287,2
288,984288,2
289,984289,2
290,984290,2
291,984291,2
292,984292,2
293,984293,2
294,984294,2
295,984295,2
296,984296,2
297,984297,2
298,984298,2
299,984299,2
300,984300,2
301,984301,2
302,984302,2
303,984303,2
304,984304,2
305,984305,2
306,984306,2
307,984307,2
308,984308,2
309,984309,2
310,984310,2
311,984311,2
312,984312,2
313,984313,2
314,984314,2
315,984315,2
316,984316,2
317,984317,2
318,984318,2
319,984319,3
320,984320,2
321,984321,2
322,984322,2
323,984323,2
324,984324,2
325,984325,2
326,984326,2
327,984327,2
328,984328,2
329,984329,2
330,984330,2
331,984331,2
332,984332,2
333,984333,2
334,984334,2
335,984335,2
336,984336,2
337,984337,2
338,984338,2
339,984339,2
340,984340,2
341,984341,2
342,984342,2
343,984343,2
344,984344,2
345,984345,2
346,984346,2
347,984347,2
348,984348,2
349,984349,2
350,984350,2
351,984351,2
352,984352,2
353,984353,2
354,984354,2
355,984355,2
356,984356,2
357,984357,2
358,984358,2
359,984359,2
360,984360,2
361,984361,2
362,984362,2
363,984363,2
364,984364,2
365,984365,2
366,984366,2
367,984367,2
368,984368,2
369,984369,2
370,984370,2
371,984371,2
372,984372,2
373,984373,2
374,984374,2
375,984375,2
376,984376,2
377,984377,2
378,984378,2
379,984379,2
380,984380,2
381,984381,2
382,984382,2
383,984383,2
384,984384,2
385,984385,2
386,984386,2
387,984387,2
388,984388,2
389,984389,2
390,984390,2
391,984391,2
392,984392,2
393,984393,2
394,984394,2
395,984395,2
396,984396,2
397,984397,2
398,984398,2
399,984399,2
400,984400,2
401,984401,2
402,984402,2
403,984403,2
404,984404,2
405,984405,2
406,984406,2
407,984407,2
408,984408,2
409,984409,2
410,984410,2
411,984411,2
412,984412,2
413,984413,2
414,984414,2
415,984415,2
416,984416,2
417,984417,2
418,984418,2
419,984419,2
420,984420,2
421,984421,2
422,984422,2
423,984423,2
424,984424,2
425,984425,2
426,984426,2
427,984427,2
428,984428,2
429,984429,2
430,984430,2
431,984431,3
432,984432,2
433,984433,2
434,984434,2
435,984435,2
436,984436,2
437,984437,2
438,984438,2
439,984439,2
440,984440,2
441,984441,2
442,984442,2
443,984443,2
444,984444,2
445,984445,2
446,984446,2
447,984447,2
448,984448,2
449,984449,2
450,984450,2
451,984451,2
452,984452,2
453,984453,2
454,984454,2
455,984455,2
456,984456,2
457,984457,2
458,984458,2
459,984459,2
460,984460,2
461,984461,2
462,984462,2
463,984463,2
464,984464,2
465,984465,2
466,984466,2
467,984467,2
468,984468,2
469,984469,2
470,984470,2
471,984471,2
472,984472,2
473,984473,2
474,984474,2
475,984475,2
476,984476,2
477,984477,2
478,984478,2
479,984479,2
480,984480,2
481,984481,2
482,984482,2
483,984483,2
484,984484,2
485,984485,2
486,984486,2
487,984487,2
488,984488,2
489,984489,2
490,984490,2
491,984491,2
492,984492,2
493,984493,2
494,984494,2
495,984495,2
496,984496,2
497,984497,2
498,984498,2
499,984499,2
500,984500,2
501,984501,2
502,984502,2
503,984503,2
504,984504,2
505,984505,2
506,984506,2
507,984507,2
508,984508,2
509,984509,2
510,984510,2
511,984511,2
512,984512,2
